都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,種別,住所,方書,緯度（１０進法表記）,経度（１０進法表記）,容量（ｍ3）,備考
252123,0000000001,滋賀県,高島市,防火水槽,高島市今津町今津北浜,,35.40364444 ,136.03674722 ,40,公設（有蓋）
252123,0000000002,滋賀県,高島市,防火水槽,高島市今津町今津栄区,,35.40341944 ,136.02811667 ,40,公設（有蓋）
252123,0000000003,滋賀県,高島市,防火水槽,高島市今津町今津天神,,35.40204167 ,136.02721111 ,40,公設（有蓋）
252123,0000000004,滋賀県,高島市,防火水槽,高島市今津町今津天神,,35.40236667 ,136.02592500 ,40,公設（有蓋）
252123,0000000005,滋賀県,高島市,防火水槽,高島市今津町今津中浜,,35.40104444 ,136.03533611 ,40,公設（有蓋）
252123,0000000006,滋賀県,高島市,防火水槽,高島市今津町今津中浜,,35.39949722 ,136.03444722 ,40,公設（有蓋）
252123,0000000007,滋賀県,高島市,防火水槽,高島市今津町今津西区,,35.40431667 ,136.03184167 ,40,公設（有蓋）
252123,0000000008,滋賀県,高島市,防火水槽,高島市今津町今津西区,,35.40342500 ,136.03292500 ,40,公設（有蓋）
252123,0000000009,滋賀県,高島市,防火水槽,高島市今津町今津東区,,35.40228611 ,136.03558056 ,40,公設（有蓋）
252123,0000000010,滋賀県,高島市,防火水槽,高島市今津町今津南浜,,35.39185278 ,136.03216667 ,40,公設（有蓋）
252123,0000000011,滋賀県,高島市,防火水槽,高島市今津町今津平郷,,35.39608333 ,136.02068056 ,40,公設（有蓋）
252123,0000000012,滋賀県,高島市,防火水槽,高島市今津町今津南浜,,35.39547500 ,136.03441667 ,40,公設（有蓋）
252123,0000000013,滋賀県,高島市,防火水槽,高島市今津町松陽台一丁目,,35.39505833 ,136.03066389 ,40,公設（有蓋）
252123,0000000014,滋賀県,高島市,防火水槽,高島市今津町松陽台一丁目,,35.39627222 ,136.02677222 ,40,公設（有蓋）
252123,0000000015,滋賀県,高島市,防火水槽,高島市今津町松陽台一丁目,,35.39766667 ,136.02802500 ,40,公設（有蓋）
252123,0000000016,滋賀県,高島市,防火水槽,高島市今津町松陽台二丁目,,35.39201667 ,136.02802778 ,40,公設（有蓋）
252123,0000000017,滋賀県,高島市,防火水槽,高島市今津町住吉二丁目,,35.40050556 ,136.03107500 ,40,公設（有蓋）
252123,0000000018,滋賀県,高島市,防火水槽,高島市今津町中沼一丁目,,35.39784444 ,136.03416944 ,40,公設（有蓋）
252123,0000000019,滋賀県,高島市,防火水槽,高島市今津町舟橋二丁目3-1,,35.40050556 ,136.02903889 ,40,公設（有蓋）
252123,0000000020,滋賀県,高島市,防火水槽,高島市今津町名小路二丁目,,35.39768056 ,136.03037778 ,40,公設（有蓋）
252123,0000000021,滋賀県,高島市,防火水槽,高島市今津町梅原,,35.41152222 ,135.99443333 ,40,公設（有蓋）
