都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,種別,住所,方書,緯度（１０進法表記）,経度（１０進法表記）,容量（ｍ3）,備考
252123,0000000001,滋賀県,高島市,防火水槽,高島市マキノ町在原,,35.51343056 ,136.07371944 ,40,公設（有蓋）
252123,0000000002,滋賀県,高島市,防火水槽,高島市マキノ町在原,,35.51423889 ,136.07293333 ,40,公設（有蓋）
252123,0000000003,滋賀県,高島市,防火水槽,高島市マキノ町在原,,35.51424722 ,136.07195278 ,40,公設（有蓋）
252123,0000000004,滋賀県,高島市,防火水槽,高島市マキノ町浦浦,,35.48816667 ,136.06253333 ,40,公設（有蓋）
252123,0000000005,滋賀県,高島市,防火水槽,高島市マキノ町浦浦,,35.48922222 ,136.06121944 ,40,公設（有蓋）
252123,0000000006,滋賀県,高島市,防火水槽,高島市マキノ町浦浦,,35.48764444 ,136.06089444 ,40,公設（有蓋）
252123,0000000007,滋賀県,高島市,防火水槽,高島市マキノ町浦上分,,35.48310000 ,136.07705833 ,40,公設（有蓋）
252123,0000000008,滋賀県,高島市,防火水槽,高島市マキノ町海津,,35.46593056 ,136.07545278 ,40,公設（有蓋）
252123,0000000009,滋賀県,高島市,防火水槽,高島市マキノ町海津,,35.46717778 ,136.07885278 ,40,公設（有蓋）
252123,0000000010,滋賀県,高島市,防火水槽,高島市マキノ町海津,,35.46523056 ,136.07759722 ,40,公設（有蓋）
252123,0000000011,滋賀県,高島市,防火水槽,高島市マキノ町海津,,35.46432500 ,136.07274722 ,40,公設（有蓋）
252123,0000000012,滋賀県,高島市,防火水槽,高島市マキノ町海津,,35.46503889 ,136.07596944 ,40,公設（有蓋）
252123,0000000013,滋賀県,高島市,防火水槽,高島市マキノ町海津,,35.46505833 ,136.07944722 ,40,公設（有蓋）
252123,0000000014,滋賀県,高島市,防火水槽,高島市マキノ町海津,,35.46574722 ,136.07072778 ,40,公設（有蓋）
252123,0000000015,滋賀県,高島市,防火水槽,高島市マキノ町海津,,35.46661944 ,136.07297500 ,40,公設（有蓋）
252123,0000000016,滋賀県,高島市,防火水槽,高島市マキノ町小荒路上ノ山,,35.49160000 ,136.08740556 ,40,公設（有蓋）
252123,0000000017,滋賀県,高島市,防火水槽,高島市マキノ町小荒路小荒路,,35.48302500 ,136.08363333 ,40,公設（有蓋）
252123,0000000018,滋賀県,高島市,防火水槽,高島市マキノ町小荒路小荒路,,35.48428333 ,136.08480556 ,40,公設（有蓋）
252123,0000000019,滋賀県,高島市,防火水槽,高島市マキノ町小荒路小荒路,,35.48484167 ,136.08371667 ,40,公設（有蓋）
252123,0000000020,滋賀県,高島市,防火水槽,高島市マキノ町小荒路田谷,,35.48856111 ,136.08573056 ,40,公設（有蓋）
252123,0000000021,滋賀県,高島市,防火水槽,高島市マキノ町小荒路田谷,,35.48718611 ,136.08537222 ,40,公設（有蓋）
252123,0000000022,滋賀県,高島市,防火水槽,高島市マキノ町下小中,,35.49612222 ,136.06186389 ,40,公設（有蓋）
252123,0000000023,滋賀県,高島市,防火水槽,高島市マキノ町下小中,,35.49622500 ,136.06028056 ,40,公設（有蓋）
252123,0000000024,滋賀県,高島市,防火水槽,高島市マキノ町下坂ノ下,,35.49349722 ,136.05865556 ,40,公設（有蓋）
252123,0000000025,滋賀県,高島市,防火水槽,高島市マキノ町下下出,,35.49642778 ,136.05313889 ,40,公設（有蓋）
252123,0000000026,滋賀県,高島市,防火水槽,高島市マキノ町高木浜一丁目,,35.46080000 ,136.06089444 ,40,公設（有蓋）
252123,0000000027,滋賀県,高島市,防火水槽,高島市マキノ町高木浜一丁目,,35.45890556 ,136.06192222 ,40,公設（有蓋）
252123,0000000028,滋賀県,高島市,防火水槽,高島市マキノ町西浜,,35.46016944 ,136.05375556 ,40,公設（有蓋）
252123,0000000029,滋賀県,高島市,防火水槽,高島市マキノ町西浜,,35.46121111 ,136.05674167 ,40,公設（有蓋）
252123,0000000030,滋賀県,高島市,防火水槽,高島市マキノ町西浜,,35.46214167 ,136.06906944 ,40,公設（有蓋）
252123,0000000031,滋賀県,高島市,防火水槽,高島市マキノ町西浜,,35.46065833 ,136.06690833 ,40,公設（有蓋）
252123,0000000032,滋賀県,高島市,防火水槽,高島市マキノ町西浜,,35.45905833 ,136.06498889 ,40,公設（有蓋）
252123,0000000033,滋賀県,高島市,防火水槽,高島市マキノ町西浜,,35.45695000 ,136.06240556 ,40,公設（有蓋）
252123,0000000034,滋賀県,高島市,防火水槽,高島市マキノ町野口国境,,35.53335000 ,136.09460556 ,40,公設（有蓋）
