都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,種別,住所,方書,緯度（１０進法表記）,経度（１０進法表記）,容量（ｍ3）,備考
252123,0000000001,滋賀県,高島市,防火水槽,高島市新旭町旭田井,,35.36336667 ,136.03720556 ,60,公設（有蓋）
252123,0000000002,滋賀県,高島市,防火水槽,高島市新旭町旭堀川,,35.35460000 ,136.03682222 ,60,公設（有蓋）
252123,0000000003,滋賀県,高島市,防火水槽,高島市新旭町旭森,,35.35963333 ,136.03855278 ,65,公設（有蓋）
252123,0000000004,滋賀県,高島市,防火水槽,高島市新旭町旭山形,,35.35473333 ,136.04107500 ,60,公設（有蓋）
252123,0000000005,滋賀県,高島市,防火水槽,高島市新旭町旭山形,,35.35535556 ,136.04256944 ,48,公設（有蓋）
252123,0000000006,滋賀県,高島市,防火水槽,高島市新旭町饗庭木津,,35.38669444 ,136.03309444 ,40,公設（有蓋）
252123,0000000007,滋賀県,高島市,防火水槽,高島市新旭町饗庭木津,,35.38509722 ,136.03152500 ,40,公設（有蓋）
252123,0000000008,滋賀県,高島市,防火水槽,高島市新旭町饗庭木津,,35.38319167 ,136.03296389 ,40,公設（有蓋）
252123,0000000009,滋賀県,高島市,防火水槽,高島市新旭町饗庭木津,,35.38377778 ,136.03360556 ,40,公設（有蓋）
252123,0000000010,滋賀県,高島市,防火水槽,高島市新旭町饗庭木津,,35.38171389 ,136.03391944 ,40,公設（有蓋）
252123,0000000011,滋賀県,高島市,防火水槽,高島市新旭町饗庭木津,,35.38634722 ,136.03001944 ,40,公設（有蓋）
252123,0000000012,滋賀県,高島市,防火水槽,高島市新旭町饗庭木津,,35.38438333 ,136.02990833 ,40,公設（有蓋）
252123,0000000013,滋賀県,高島市,防火水槽,高島市新旭町饗庭岡,,35.37153333 ,136.03125000 ,40,公設（有蓋）
252123,0000000014,滋賀県,高島市,防火水槽,高島市新旭町饗庭岡,,35.37628333 ,136.03183889 ,42,公設（有蓋）
252123,0000000015,滋賀県,高島市,防火水槽,高島市新旭町饗庭岡,,35.37928333 ,136.03255556 ,60,公設（無蓋）
252123,0000000016,滋賀県,高島市,防火水槽,高島市新旭町饗庭岡,,35.37352222 ,136.03162778 ,40,公設（無蓋）
